gene_id,symbol,log2FoldChange,padj,clinical_association,cohort_frequency,note,marker_cluster,marker_avg_log2FC,canonical
GeneA,,-0.0220427040188698,0.99358283467897,Unnamed: 0,0.3333333333333333,,0,7.02345026265725,GeneA
GeneB,,-0.0878412578417692,0.99358283467897,Unnamed: 0,0.3333333333333333,,0,6.01182439133732,GeneB
GeneC,,0.0943865775251181,0.99358283467897,Unnamed: 0,0.3333333333333333,,0,5.29615364300021,GeneC
GeneD,,0.0189543085559689,0.99358283467897,Unnamed: 0,,,0,4.96867278138329,GeneD
GeneE,,-0.0441873961441722,0.99358283467897,Unnamed: 0,,,1,4.23966043297459,GeneE
GeneF,,-0.006192355961176,0.99358283467897,Unnamed: 0,,,1,4.63256988759666,GeneF
GeneG,,0.0680926923393721,0.99358283467897,Unnamed: 0,,,1,3.00235377524253,GeneG
GeneH,,0.0022940392089105,0.99358283467897,Unnamed: 0,,,2,6.58397349301042,GeneH
GeneI,,0.029646327203041,0.99358283467897,Unnamed: 0,,,2,6.36811966108765,GeneI
GeneJ,,-0.025203698750957,0.99358283467897,Unnamed: 0,,,2,5.57104666852702,GeneJ
